Step:4850 Total_Time:354.01369857788086 Test_acc:0.2673828125
Step:4900 Total_Time:357.6473779678345 Test_acc:0.269140625
Step:4950 Total_Time:361.2823030948639 Test_acc:0.2677734375
Step:5000 Total_Time:364.92544388771057 Test_acc:0.2728515625
Step:5050 Total_Time:368.5504856109619 Test_acc:0.273828125
Step:5100 Total_Time:372.19237875938416 Test_acc:0.27265625
Step:5150 Total_Time:375.8399250507355 Test_acc:0.2765625
Step:5200 Total_Time:379.47706413269043 Test_acc:0.276171875
Step:5250 Total_Time:383.1109125614166 Test_acc:0.277734375
Step:5300 Total_Time:386.7512719631195 Test_acc:0.279296875
Step:5350 Total_Time:390.3817801475525 Test_acc:0.278515625
Step:5400 Total_Time:394.025324344635 Test_acc:0.2783203125
Step:5450 Total_Time:397.67885994911194 Test_acc:0.280859375
Step:5500 Total_Time:401.3382866382599 Test_acc:0.282421875
Step:5550 Total_Time:404.97844648361206 Test_acc:0.2830078125
Step:5600 Total_Time:408.6254127025604 Test_acc:0.2818359375
Step:5650 Total_Time:412.29905557632446 Test_acc:0.2828125
Step:5700 Total_Time:415.9481418132782 Test_acc:0.2837890625
OVERALL Step:5744 Total_Time:419.23484230041504 Test_acc:0.2857124162479062
Step:5750 Total_Time:419.6154980659485 Test_acc:0.287890625
Step:5800 Total_Time:423.2718822956085 Test_acc:0.282421875
Step:5850 Total_Time:426.9205551147461 Test_acc:0.283203125
Step:5900 Total_Time:430.5840075016022 Test_acc:0.278515625
Step:5950 Total_Time:434.2296779155731 Test_acc:0.2791015625
Step:6000 Total_Time:437.88182377815247 Test_acc:0.28359375
Step:6050 Total_Time:441.51586627960205 Test_acc:0.2845703125
Step:6100 Total_Time:445.1587748527527 Test_acc:0.2869140625
Step:6150 Total_Time:448.8004813194275 Test_acc:0.293359375
Step:6200 Total_Time:452.4392144680023 Test_acc:0.2966796875
Step:6250 Total_Time:456.0796411037445 Test_acc:0.2966796875
Step:6300 Total_Time:459.7307276725769 Test_acc:0.2982421875
Step:6350 Total_Time:463.3804979324341 Test_acc:0.2970703125
Step:6400 Total_Time:467.0138123035431 Test_acc:0.29921875
Step:6450 Total_Time:470.6514399051666 Test_acc:0.299609375
Step:6500 Total_Time:474.29248094558716 Test_acc:0.2984375
Step:6550 Total_Time:477.92982506752014 Test_acc:0.29765625
Step:6600 Total_Time:481.5724663734436 Test_acc:0.296484375
Step:6650 Total_Time:485.22447872161865 Test_acc:0.2974609375
Step:6700 Total_Time:488.9006278514862 Test_acc:0.2986328125
Step:6750 Total_Time:492.53900241851807 Test_acc:0.298046875
Step:6800 Total_Time:496.18003010749817 Test_acc:0.3013671875
Step:6850 Total_Time:499.8162865638733 Test_acc:0.2998046875
Step:6900 Total_Time:503.4559304714203 Test_acc:0.30078125
Step:6950 Total_Time:507.08770728111267 Test_acc:0.301953125
Step:7000 Total_Time:510.73433446884155 Test_acc:0.3015625
Step:7050 Total_Time:514.3567092418671 Test_acc:0.3
Step:7100 Total_Time:517.9977910518646 Test_acc:0.2994140625
Step:7150 Total_Time:521.6378569602966 Test_acc:0.303125
Step:7200 Total_Time:525.2759845256805 Test_acc:0.3044921875
Step:7250 Total_Time:528.9025123119354 Test_acc:0.30625
Step:7300 Total_Time:532.5385038852692 Test_acc:0.3056640625
Step:7350 Total_Time:536.1785550117493 Test_acc:0.30625
Step:7400 Total_Time:539.8236587047577 Test_acc:0.31015625
Step:7450 Total_Time:543.4634077548981 Test_acc:0.308984375
Step:7500 Total_Time:547.1130232810974 Test_acc:0.30703125
Step:7550 Total_Time:550.7583315372467 Test_acc:0.3103515625
Step:7600 Total_Time:554.3920764923096 Test_acc:0.3119140625
Step:7650 Total_Time:558.0442461967468 Test_acc:0.3109375
